Id,AuctionNumber,StartDate,EndDate,MaxOfferedPrice,CurrentPrice,StartingPrice,ShortDescription,Status,StatusTranslation,NumberOfVerifiedUsers,IsFirstSale,PropertyType,ExecutorName,Code,Name,ZipCode,Municipality,Cadastral,ParcelNumber
89744,Н89744,2024-04-15T07:00:00Z,2024-04-15T11:00:00Z,,,878865.0,"Стамбено пословна зграда бр.зграде 2 са припадајућом парцелом кп11 K.O. Српски Елемир, као и
грађевинска парцела кп10 К.О. Српски Елемир, у улици Парт",InPrediction,У најави,0,False,ImmovableProperties,,,,,,,
89737,Н89737,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,75903.41,"катастарска парцела број 1773/2 , површине 4626м2, по култури воћњак 5. класе,  удео извршног дужника 1/2, уписане у лист непокретности 849 КО Луњевиц",InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
89738,Н89738,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,41085.63,"катастарска парцела број 1773/3 , површине 2504м2, по култури ливада 6. класе,  удео извршног дужника 1/2, уписане у лист непокретности 849 КО Луњевиц",InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
89812,Н89812,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,363412.38,"1/2 куће 103 кв.м. са окућницом, парцеле површине 674 кв.м. у Радичевићу, општина Бечеј",InPrediction,У најави,0,False,ImmovableProperties,,,,,,,
89815,Н89815,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,2760928.1,СТАН К.О. НОВИ САД I ,InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
89818,Н89818,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,2695779.0,"- породична стамбена зграда, објекат бр.1  на КП. Бр. 1610 КО БОР  и  помоћна зграда, објекат бр.2 на КП. Бр. 1610  КО БОР I ",InPrediction,У најави,0,False,ImmovableProperties,,,,,,,
89828,Н89828,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,175000.0,"катастарске  парцеле бр. 3740, њива 4. класе, земљиште у грађевинском подручју, површине 26а 92 м2, потес Попа Цветина",InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
89829,Н89829,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,84000.0,"катастарске парцела бр. 3741, воћњак 3.класе, земљиште у грађевинском подручју, површине 6а 30 м2 потес Попа Цветина,",InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
89830,Н89830,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,70000.0,"катастарске парцеле бр. 3743, шума 2. класе, земљиште у грађевинском подручју, површине 11а 44м2, потес Попа Цветина",InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
89831,Н89831,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,455000.0,"катастарске парцеле бр. 1832/2, њива 1.класе, земљиште у грађевинском подручју површине 23а 63 м2, потес Село",InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
89833,Н89833,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,1470000.0,"катастарске парцеле бр. 3724, број дела 1, њива 1. класе површине 95 а 44м2 и број дела 2,њива 2.класе површине 25 а 80м2, укупне површине 1ха 21а 24 ",InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
89864,Н89864,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,396000.0,породична стамбена зграда,InPrediction,У најави,0,False,ImmovableProperties,,,,,,,
89865,Н89865,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,420000.0,породична стамбена зграда,InPrediction,У најави,0,False,ImmovableProperties,,,,,,,
89868,Н89868,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,9205000.0,Стан на Вождовцу,InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
89885,Н89885,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,1400000.0,Гаража на Вождовцу,InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
89913,Н89913,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,1973832.7,"Удео од 1/2 на кп.бр. 533/1 са породичном стамбеном зградом и помоћном зградом, све уписано у лн.бр. 290 КО Баљковац",InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
89993,Н89993,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,422410.0,"НЕПОКРЕТНОСТ, л.н. број 3042 К.О. Каравуково, парц. бр.1220, и парц.бр.1219",InPrediction,У најави,0,False,ImmovableProperties,,,,,,,
89994,Н89994,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,89120.0,"ЛН број 3113 к.о. Каравуково, парцела број 3030, Плацеви, њива 4. класе",InPrediction,У најави,0,False,ImmovableProperties,,,,,,,
89995,Н89995,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,36335.0,"ЛН број 3115 к.о. Каравуково, парцела број 1832, Пешчани Хум, њива 6.класе, ",InPrediction,У најави,0,False,ImmovableProperties,,,,,,,
90034,Н90034,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,56000.0,"грађевинско земљиште - њива површине 587 кв.м. у Гунарошу, општина Бачка Топола",InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
90035,Н90035,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,238000.0,"земљиште у грађевинском подручју – њива 2. класе, површине 25 а 04 кв.м. - Гунарош, Бачка Топола",InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
90040,Н90040,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,116200.0,"земљиште у грађевинском подручју – воћњак 2. класе, површине 14 а 17 кв.м. - Гунарош, Бачка Топола",InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
90065,Н90065,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,910000.0,Воћњак у Барајеву 1,InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
90067,Н90067,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,229600.0,Воћњак у Барајеву 2,InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
90070,Н90070,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,231000.0,Воћњак у Барајеву 3,InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
90072,Н90072,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,24500.0,Воћњак у Барајеву 4,InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
90086,Н90086,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,1092828.1,"5/6 дела куће бр. 504, двориште и њива « Атови « који се налазе на парц.бр. 1853/1 КО Кулпин, ",InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
90087,Н90087,2024-04-12T07:00:00Z,2024-04-12T11:00:00Z,,,271152.7,5/6 дела њиве « Атови « која се налази на парц.бр. 1853/4 ,InPrediction,У најави,0,True,ImmovableProperties,,,,,,,
