Id,AuctionNumber,StartDate,EndDate,EstimatedPrice,StartingPrice,StartingPrice/EstimatedPrice,EstimatedPrice-StartingPrice,IsFirstSale,PropertyType,ShortDescription,Description,NameCategory,Code,Name,ZipCode,Municipality,Cadastral,ParcelNumber,Status,StatusTranslation,NumberOfVerifiedUsers,ExecutorName,MaxOfferedPrice,CurrentPrice
66390,Н66390,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,228000.0,159600.0,0.7,68400.0,True,ImmovableProperties,"парц.бр.2412 К.О.Мартонош, ЛН 3133	, површине 3.560,00 м2","парц.бр.2412 К.О.Мартонош, ЛН 3133	, површине 3.560,00 м2",Пољопривредно земљиште,802042,Мартонош,24417,Кањижа,МАРТОНОШ,,Verified,Потврђено,1,Александар Вучковић,,
66391,Н66391,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,231000.0,161700.0,0.7,69300.0,True,ImmovableProperties,"парц.бр.2413 К.О.Мартонош, ЛН 3133, 3561,00 м2","парц.бр.2413 К.О.Мартонош, ЛН 3133, 	3561,00 м2",Пољопривредно земљиште,802042,Мартонош,24417,Кањижа,МАРТОНОШ,,Verified,Потврђено,1,Александар Вучковић,,
66413,Н66413,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,610000.0,427000.0,0.7,183000.0,True,ImmovableProperties,"парц.бр.3268/1 К.О.Нови Кнежевац, ЛН 4797, површине	12.500,00 м2","парц.бр.3268/1 К.О.Нови Кнежевац, ЛН 4797, површине	12.500,00 м2",Пољопривредно земљиште,802689,Нови Кнежевац,23330,Нови Кнежевац,НОВИ КНЕЖЕВАЦ,,Verified,Потврђено,1,Александар Вучковић,,
66414,Н66414,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,8200.0,5740.0,0.7,2460.0,True,ImmovableProperties,"парц.бр.3268/2 К.О.Нови Кнежевац, ЛН 4797, површине	175,00 м2","парц.бр.3268/2 К.О.Нови Кнежевац, ЛН 4797, површине	175,00 м2",Пољопривредно земљиште,802689,Нови Кнежевац,23330,Нови Кнежевац,НОВИ КНЕЖЕВАЦ,,Verified,Потврђено,1,Александар Вучковић,,
66415,Н66415,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,270000.0,189000.0,0.7,81000.0,True,ImmovableProperties,"парц.бр.3412/1 К.О.Нови Кнежевац, ЛН 4797 , површине	5506,00 м2","парц.бр.3412/1 К.О.Нови Кнежевац, ЛН 4797 , површине	5506,00 м2",Пољопривредно земљиште,802689,Нови Кнежевац,23330,Нови Кнежевац,НОВИ КНЕЖЕВАЦ,,Verified,Потврђено,1,Александар Вучковић,,
66416,Н66416,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,575000.0,402500.0,0.7,172500.0,True,ImmovableProperties,"парц.бр.3418/3 К.О.Нови Кнежевац, ЛН 4797, површине	13.262,00 м2","парц.бр.3418/3 К.О.Нови Кнежевац, ЛН 4797, површине	13262,00 м2",Пољопривредно земљиште,802689,Нови Кнежевац,23330,Нови Кнежевац,НОВИ КНЕЖЕВАЦ,,Verified,Потврђено,1,Александар Вучковић,,
66417,Н66417,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,235000.0,164500.0,0.7,70500.0,True,ImmovableProperties,"парц.бр.3428 К.О.Нови Кнежевац, ЛН 4797, површине 5059,00 м2","парц.бр.3428 К.О.Нови Кнежевац, ЛН 4797, површине 5059,00 м2",Пољопривредно земљиште,802689,Нови Кнежевац,23330,Нови Кнежевац,НОВИ КНЕЖЕВАЦ,,Verified,Потврђено,1,Александар Вучковић,,
66418,Н66418,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,903000.0,632100.0,0.7,270900.0,True,ImmovableProperties,"парц.бр.3429 К.О.Нови Кнежевац, ЛН 4797, површине 20809,00 м2","парц.бр.3429 К.О.Нови Кнежевац, ЛН 4797, површине 20809,00 м2",Пољопривредно земљиште,802689,Нови Кнежевац,23330,Нови Кнежевац,НОВИ КНЕЖЕВАЦ,,Verified,Потврђено,1,Александар Вучковић,,
66419,Н66419,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,340000.0,238000.0,0.7,102000.0,True,ImmovableProperties,"парц.бр.3439 К.О.Нови Кнежевац, ЛН 4797,м површине 7017,00 м2","парц.бр.3439 К.О.Нови Кнежевац, ЛН 4797,м површине 7017,00 м2",Пољопривредно земљиште,802689,Нови Кнежевац,23330,Нови Кнежевац,НОВИ КНЕЖЕВАЦ,,Verified,Потврђено,1,Александар Вучковић,,
66420,Н66420,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,774000.0,541800.0,0.7,232200.0,True,ImmovableProperties,"парц.бр.3443 К.О.Нови Кнежевац, ЛН 4797, површине 16567,00 м2","парц.бр.3443 К.О.Нови Кнежевац, ЛН 4797, површине 16567,00 м2",Пољопривредно земљиште,802689,Нови Кнежевац,23330,Нови Кнежевац,НОВИ КНЕЖЕВАЦ,,Verified,Потврђено,1,Александар Вучковић,,
66421,Н66421,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,610000.0,427000.0,0.7,183000.0,True,ImmovableProperties,"парц.бр.3449 К.О.Нови Кнежевац, ЛН 4797, површине 13027,00 м2","парц.бр.3449 К.О.Нови Кнежевац, ЛН 4797, површине 13027,00 м2",Пољопривредно земљиште,802689,Нови Кнежевац,23330,Нови Кнежевац,НОВИ КНЕЖЕВАЦ,,Verified,Потврђено,1,Александар Вучковић,,
66422,Н66422,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,610000.0,427000.0,0.7,183000.0,True,ImmovableProperties,"парц.бр.3771 К.О.Нови Кнежевац, ЛН 4797, површине 14028,00 м2","парц.бр.3771 К.О.Нови Кнежевац, ЛН 4797, површине 14028,00 м2",Пољопривредно земљиште,802689,Нови Кнежевац,23330,Нови Кнежевац,НОВИ КНЕЖЕВАЦ,,Verified,Потврђено,2,Александар Вучковић,,
66423,Н66423,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,593000.0,415100.0,0.7,177900.0,True,ImmovableProperties,"парц.бр.3772 К.О.Нови Кнежевац, ЛН 4797, површине 13640,00 м2","парц.бр.3772 К.О.Нови Кнежевац, ЛН 4797, површине 13640,00 м2",Пољопривредно земљиште,802689,Нови Кнежевац,23330,Нови Кнежевац,НОВИ КНЕЖЕВАЦ,,Verified,Потврђено,2,Александар Вучковић,,
66424,Н66424,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,317000.0,221900.0,0.7,95100.0,True,ImmovableProperties,"парц.бр.3773 К.О.Нови Кнежевац, ЛН 4797, површине 7328,00 м2","парц.бр.3773 К.О.Нови Кнежевац, ЛН 4797, површине 7328,00 м2",Пољопривредно земљиште,802689,Нови Кнежевац,23330,Нови Кнежевац,НОВИ КНЕЖЕВАЦ,,Verified,Потврђено,2,Александар Вучковић,,
66425,Н66425,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,129000.0,90300.0,0.7,38700.0,True,ImmovableProperties,"парц.бр.3774 К.О.Нови Кнежевац, ЛН 4797, површине 2993,00 м2","парц.бр.3774 К.О.Нови Кнежевац, ЛН 4797, површине 2993,00 м2",Пољопривредно земљиште,802689,Нови Кнежевац,23330,Нови Кнежевац,НОВИ КНЕЖЕВАЦ,,Verified,Потврђено,2,Александар Вучковић,,
66426,Н66426,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,657000.0,459900.0,0.7,197100.0,True,ImmovableProperties,"парц.бр.3779 К.О.Нови Кнежевац, ЛН 4797, површине 14354,00 м2","парц.бр.3779 К.О.Нови Кнежевац, ЛН 4797, површине 14354,00 м2",Пољопривредно земљиште,802689,Нови Кнежевац,23330,Нови Кнежевац,НОВИ КНЕЖЕВАЦ,,Verified,Потврђено,2,Александар Вучковић,,
66427,Н66427,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,446000.0,312200.0,0.7,133800.0,True,ImmovableProperties,"парц.бр.3780 К.О.Нови Кнежевац, ЛН 4797, површине 9608,00 м2","парц.бр.3780 К.О.Нови Кнежевац, ЛН 4797, површине 9608,00 м2",Пољопривредно земљиште,802689,Нови Кнежевац,23330,Нови Кнежевац,НОВИ КНЕЖЕВАЦ,,Verified,Потврђено,2,Александар Вучковић,,
66428,Н66428,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,458000.0,320600.0,0.7,137400.0,True,ImmovableProperties,"парц.бр.3787 К.О.Нови Кнежевац, ЛН 4797, површине 8977,00 м2","парц.бр.3787 К.О.Нови Кнежевац, ЛН 4797, површине 8977,00 м2",Пољопривредно земљиште,802689,Нови Кнежевац,23330,Нови Кнежевац,НОВИ КНЕЖЕВАЦ,,Verified,Потврђено,1,Александар Вучковић,,
66429,Н66429,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,493000.0,345100.0,0.7,147900.0,True,ImmovableProperties,"парц.бр.3788 К.О.Нови Кнежевац, ЛН 4797, површине 9654,00 м2","парц.бр.3788 К.О.Нови Кнежевац, ЛН 4797, површине 9654,00 м2",Пољопривредно земљиште,802689,Нови Кнежевац,23330,Нови Кнежевац,НОВИ КНЕЖЕВАЦ,,Verified,Потврђено,2,Александар Вучковић,,
66430,Н66430,2023-07-10T07:00:00Z,2023-07-10T11:00:00Z,470000.0,329000.0,0.7,141000.0,True,ImmovableProperties,"парц.бр.3789 К.О.Нови Кнежевац, ЛН 4797, површине 9200,00 м2","парц.бр.3789 К.О.Нови Кнежевац, ЛН 4797, површине 9200,00 м2",Пољопривредно земљиште,802689,Нови Кнежевац,23330,Нови Кнежевац,НОВИ КНЕЖЕВАЦ,,Verified,Потврђено,2,Александар Вучковић,,
104530,Н104530,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,153000.0,107100.0,0.7,45900.0,True,ImmovableProperties,парцела и објекат,"Уписане у лист непокретности број 189 КО Купиник
1.Подаци о парцели:
Број парцеле 289; потес/улица Дрварска; површина м2:1224, земљиште у грађевинском подручју од чега:
• број дела 1, површина дела 48, земљиште под зградом и другим објектом
• број дела 2, површина дела 11; земљиште под зградом и другим објектом
• број дела 3, површина дела 500, земљиште уз зграду и други објекат
• број дела 4, површина дела 665, њива 3. класе
Са напоменом да је на предметној парцели уписано право полодоуживања у корист Радошевић Радосава
Љубице из Пландишта, ул. Милоша Црњанског бр. 24, јмбг: 1106959875029
Подаци о зградама и другим грађевинским објектима
• број објекта 1; који се налази на парцели 289/0, назив улице Дрварска; кућни број 41;кућни подброј А;
површина м2:48; породична стамбена зграда;објекат преузет из земљишне књиге; корисна површина м2:
површина није евидентирана; грађевинска површина: површина није евидентирана, број приземних етажа
1
• број објекта 2; који се налази на парцели 289/0 ",Грађевинско земљиште,803391,Купиник,26368,Пландиште,КУПИНИК,,Verified,Потврђено,0,Филип Станковић,,
104582,Н104582,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,321366.0,224956.2,0.7000000000000001,96409.79999999999,True,ImmovableProperties,"ливада 7.класе површине 16142м2, кп.бр.505, уписане у лист непокретности број 74 КО Добри До","ливада 7.класе површине 16142м2, кп.бр.505 КО Добри До, уписане у лист непокретности број 74 КО Добри До, приватна својина, сувласништво, овим удела 1/2",Пољопривредно земљиште,716120,Добри До,,Ивањица,ДОБРИ ДО,,Verified,Потврђено,0,Миланка Савић,,
104583,Н104583,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,217363.0,152154.1,0.7000000000000001,65208.899999999994,True,ImmovableProperties,"ливада 7.класе површине 10918м2, кп.бр.526, уписане у лист непокретности број 74 КО Добри До","ливада 7.класе површине 10918м2, кп.бр.526, уписане у лист непокретности број 74 КО Добри До, приватна својина, сувласништво, овим удела 1/2",Пољопривредно земљиште,716120,Добри До,,Ивањица,ДОБРИ ДО,,Verified,Потврђено,0,Миланка Савић,,
104584,Н104584,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,248142.0,173699.4,0.7,74442.6,True,ImmovableProperties,"ливада 7.класе површине 12464м2, кп.бр.528 уписане у лист непокретности број 74 КО Добри До","ливада 7.класе површине 12464м2, кп.бр.528 уписане у лист непокретности број 74 КО Добри До, приватна својина, сувласништво, обим удела 1/2",Пољопривредно земљиште,716120,Добри До,,Ивањица,ДОБРИ ДО,,Verified,Потврђено,0,Миланка Савић,,
104585,Н104585,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,4687660.0,3281362.0,0.7,1406298.0,True,ImmovableProperties,"шума 7.класе површине 88943м2, кп.бр.529/1 уписане у лист непокретности број 74 КО Добри До","шума 7.класе површине 88943м2, кп.бр.529/1 уписане у лист непокретности број 74 КО Добри До",Шумско земљиште,716120,Добри До,,Ивањица,ДОБРИ ДО,,Verified,Потврђено,0,Миланка Савић,,
105667,Н105667,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,4873700.0,3411590.0,0.7,1462110.0,True,ImmovableProperties,Пословни простор,"Пословни простор, 28 м2",Непокретности,802824,Нови Сад,21000,Нови Сад - град,"НОВИ САД II
",,Verified,Потврђено,1,Данијел Томашевић,,
105775,Н105775,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,26520.0,18564.0,0.7,7956.0,True,ImmovableProperties,"Кп.бр.394, КО Винарце,","Кп.бр.394, КО Винарце, површина 520м2, Улица Јеленин кладенац, шума 1.класе, својина приватна, удео 1/1,  процењене тржишне вредности  26.520,00дин",Шумско земљиште,723878,Винарце,,Лесковац-град,ВИНАРЦЕ,,Verification,Потврђивање у току,0,Марија Јовић,,
105776,Н105776,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,130764.0,91534.8,0.7000000000000001,39229.2,True,ImmovableProperties,"Кп.бр. 541, КО Винарце","Кп.бр. 541, КО Винарце,  површина 2564 м2, Улица Ораше, пашњак 4.класе, својина приватна, удео 1/1, процењене тржишне вредности 130.764,00дин",Пољопривредно земљиште,723878,Винарце,,Лесковац-град,ВИНАРЦЕ,,Verification,Потврђивање у току,0,Марија Јовић,,
