Id,AuctionNumber,StartDate,EndDate,EstimatedPrice,StartingPrice,StartingPrice/EstimatedPrice,EstimatedPrice-StartingPrice,IsFirstSale,PropertyType,NameCategory,ShortDescription,Description,Code,Name,ZipCode,Municipality,Status,StatusTranslation,NumberOfVerifiedUsers,ExecutorName
105611,П105611,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,6000.0,3000.0,0.5,3000.0,False,MovableProperties,Покретне ствари,"Телевизор марке „PHILIPS“, дијагонала 32 инча, сиве боје","Телевизор марке „PHILIPS“, дијагонала 32 инча, сиве боје",746444,Петловача,15304,Шабац-град,Verified,Потврђено,0,Маријана Дишић Гвозденовић
105612,П105612,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,10000.0,5000.0,0.5,5000.0,False,MovableProperties,Покретне ствари,"Угаона гарнитура, беж боје","Угаона гарнитура, беж боје",746444,Петловача,15304,Шабац-град,Verified,Потврђено,0,Маријана Дишић Гвозденовић
105613,П105613,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,7000.0,3500.0,0.5,3500.0,False,MovableProperties,Покретне ствари,"Две трпезаријске столице, пуно дрво, жуте боје са браон еко кожом","Две трпезаријске столице, пуно дрво, жуте боје са браон еко кожом",746444,Петловача,15304,Шабац-град,Verified,Потврђено,0,Маријана Дишић Гвозденовић
105614,П105614,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,16000.0,8000.0,0.5,8000.0,False,MovableProperties,Покретне ствари,"Трпезаријски сто, пуно дрво, димензија 200cm x 90cm x 90cm","Трпезаријски сто, пуно дрво, димензија 200cm x 90cm x 90cm",746444,Петловача,15304,Шабац-град,Verified,Потврђено,0,Маријана Дишић Гвозденовић
105615,П105615,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,14000.0,7000.0,0.5,7000.0,False,MovableProperties,Покретне ствари,"Витрина са четири фиоке и четири стаклена крила, пуно дрво, боја храста","Витрина са четири фиоке и четири стаклена крила, пуно дрво, боја храста",746444,Петловача,15304,Шабац-град,Verified,Потврђено,0,Маријана Дишић Гвозденовић
105616,П105616,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,8000.0,4000.0,0.5,4000.0,False,MovableProperties,Покретне ствари,"Замрзивач, непознате марке, сиве боје","Замрзивач, непознате марке, сиве боје",746444,Петловача,15304,Шабац-град,Verified,Потврђено,0,Маријана Дишић Гвозденовић
105669,П105669,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,15000.0,10500.0,0.7,4500.0,True,MovableProperties,Покретне ствари,Телевизор,марке „FOX“ ,718980,Крагујевац,34000,Крагујевац - град,Verified,Потврђено,0,Александар Тодоровић
105670,П105670,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,15000.0,10500.0,0.7,4500.0,True,MovableProperties,Покретне ствари,Клима уређај ,марке „SAMSUNG“,718980,Крагујевац,34000,Крагујевац - град,Verified,Потврђено,0,Александар Тодоровић
105671,П105671,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,3000.0,2100.0,0.7,900.0,True,MovableProperties,Покретне ствари,Клуб сточић,црне боје,718980,Крагујевац,34000,Крагујевац - град,Verified,Потврђено,0,Александар Тодоровић
105672,П105672,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,9000.0,6300.0,0.7,2700.0,True,MovableProperties,Покретне ствари,Апарат за кафу ,марке „DELOGIN“,718980,Крагујевац,34000,Крагујевац - град,Verified,Потврђено,0,Александар Тодоровић
105673,П105673,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,12000.0,8400.0,0.7,3600.0,True,MovableProperties,Покретне ствари,Машина за веш ,марке „INDESIT“,718980,Крагујевац,34000,Крагујевац - град,Verified,Потврђено,0,Александар Тодоровић
105674,П105674,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,60000.0,42000.0,0.7,18000.0,True,MovableProperties,Путничко возило или део,Путничко возило,"марке „ZASTAVA“, тип „KORAL IN 1.1 EKONOMIK“, регистарске ознаке KG303-DR, регистровано до 30.05.2025. године, број шасије VX1145A0001113050, број мотора 128A0641623950, црвене боје",718980,Крагујевац,34000,Крагујевац - град,Verified,Потврђено,0,Александар Тодоровић
105757,П105757,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,200000.0,100000.0,0.5,100000.0,False,MovableProperties,Покретне ствари,1.	Путничко моторно возило „АUDI“,"ознаке 100 QUATTRO, рег. ознаке PP 025 ZG, црне боје, година производње 1994., број шасије WAUZZZ4AZRN006460,  погон бензин – гас, пописна маркица бр. 001060",734691,Ивезићи,,Пријепоље,Verified,Потврђено,0,Дамир Шаботић
105758,П105758,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,3000.0,1500.0,0.5,1500.0,False,MovableProperties,Покретне ствари,2.	Телевизор марке „VOX“,"сиве боје, старије производње, пописна маркица бр. 001070",734691,Ивезићи,,Пријепоље,Verified,Потврђено,0,Дамир Шаботић
105849,П105849,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,11000.0,7700.0,0.7,3300.0,True,MovableProperties,Покретне ствари,Покретне ствари,"Собни сто, сушач за веш, гардеробни ормар",804665,Бачки Јарак,21234,Темерин,Verification,Потврђивање у току,0,Слободан Живанов
105929,П105929,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,6000.0,3000.0,0.5,3000.0,False,MovableProperties,Електронска и рачунарска опрема или део,ТВ “SONY”- ЈИ Жарко Димитријевић Ниш,ТВ “SONY”,712531,Гаџин Хан,18240,Гаџин Хан,Verification,Потврђивање у току,0,Жарко Димитријевић
105930,П105930,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,12000.0,6000.0,0.5,6000.0,False,MovableProperties,Намештај,Сталажа за тв ( иверица )-ЈИ Жарко Димитријевић Ниш,Сталажа за тв ( иверица ),712531,Гаџин Хан,18240,Гаџин Хан,Verification,Потврђивање у току,0,Жарко Димитријевић
105931,П105931,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,25000.0,12500.0,0.5,12500.0,False,MovableProperties,Опрема,Кухиња са висећим делом и судопером-ЈИ Жарко Димитријевић Ниш,Кухиња са висећим делом и судопером,712531,Гаџин Хан,18240,Гаџин Хан,Verification,Потврђивање у току,0,Жарко Димитријевић
105932,П105932,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,20000.0,10000.0,0.5,10000.0,False,MovableProperties,Намештај,Комода ( дрво )-ЈИ Жарко Димитријевић Ниш,Комода ( дрво ),712531,Гаџин Хан,18240,Гаџин Хан,Verification,Потврђивање у току,0,Жарко Димитријевић
105933,П105933,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,25000.0,12500.0,0.5,12500.0,False,MovableProperties,Намештај,"Регал ( четвороделни, иверица )-ЈИ Жарко Димитријевић Ниш","Регал ( четвороделни, иверица )",712531,Гаџин Хан,18240,Гаџин Хан,Verification,Потврђивање у току,0,Жарко Димитријевић
105934,П105934,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,27000.0,13500.0,0.5,13500.0,False,MovableProperties,Намештај,Регал ( четвороделни )-ЈИ Жарко Димитријевић Ниш,Регал ( четвороделни ),712531,Гаџин Хан,18240,Гаџин Хан,Verification,Потврђивање у току,0,Жарко Димитријевић
105935,П105935,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,20000.0,10000.0,0.5,10000.0,False,MovableProperties,Намештај,"Комода - регал ( дводелни, дрво )-ЈИ Жарко Димитријевић Ниш","Комода - регал ( дводелни, дрво )",712531,Гаџин Хан,18240,Гаџин Хан,Verification,Потврђивање у току,0,Жарко Димитријевић
105936,П105936,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,12000.0,6000.0,0.5,6000.0,False,MovableProperties,Намештај,Чивилук  - ормар-ЈИ Жарко Димитријевић Ниш,Чивилук  - ормар,712531,Гаџин Хан,18240,Гаџин Хан,Verification,Потврђивање у току,0,Жарко Димитријевић
105937,П105937,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,37000.0,18500.0,0.5,18500.0,False,MovableProperties,Опрема,Гладијатор - машина ( DM 470 )-ЈИ Жарко Димитријевић Ниш,Гладијатор - машина ( DM 470 ),712531,Гаџин Хан,18240,Гаџин Хан,Verification,Потврђивање у току,0,Жарко Димитријевић
105938,П105938,2024-08-13T07:00:00Z,2024-08-13T11:00:00Z,45000.0,22500.0,0.5,22500.0,False,MovableProperties,Електронска и рачунарска опрема или део, Штампач ( DIALTA DI 35I)-ЈИ Жарко Димитријевић Ниш,Штампач ( DIALTA DI 35I),712531,Гаџин Хан,18240,Гаџин Хан,Verification,Потврђивање у току,0,Жарко Димитријевић
